Key,en,hi,ar,es
Link,Link,जोड़ना,وصلة,Enlace
Edit Social Icon,Edit Social Icon,सामाजिक चिह्न संपादित करें,تحرير أيقونة الاجتماعية,Editar icono social
Edit Gallery Item,Edit Gallery Item,गैलरी आइटम संपादित करें,تحرير عنصر المعرض,Editar elemento de la galería
Edit How We Do,Edit How We Do,हम कैसे करते हैं संपादित करें,تحرير كيف نفعل,Editar cómo lo hacemos
Edit Security Item,Edit Security Item,सुरक्षा मद संपादित करें,تحرير عنصر الأمان,Editar elemento de seguridad
Edit Service Item,Edit Service Item,सेवा मद संपादित करें,تحرير عنصر الخدمة,Editar artículo de servicio
Heading,Heading,शीर्षक,عنوان,Título
Sub Heading,Sub Heading,उप शीर्षक,العنوان الفرعي,Subtítulo
Edit Statistics Item,Edit Statistics Item,सांख्यिकी आइटम संपादित करें,تحرير عنصر الإحصائيات,Editar elemento de estadísticas
Edit Testimonial Item,Edit Testimonial Item,प्रशंसापत्र आइटम संपादित करें,تحرير عنصر الشهادة,Editar artículo de testimonio
Add Video Item,Add Video Item,वीडियो आइटम जोड़ें,إضافة عنصر فيديو,Agregar elemento de video
Edit Video Item,Edit Video Item,वीडियो आइटम संपादित करें,تحرير عنصر الفيديو,Editar elemento de vídeo
Edit Why Choose Us Item,Edit Why Choose Us Item,संपादित करें हमें आइटम क्यों चुनें,تحرير لماذا تختار لنا العنصر,Editar ¿Por qué elegirnos?
Subscribers,Subscribers,ग्राहकों,مشتركين,Suscriptores
Support Chat,Support Chat,समर्थन चैट,دعم الدردشة,Chat de soporte
Ticket ID,Ticket ID,टिकट आईडी,معرف التذكرة,Identificación de entradas
Support Ticket,Support Ticket,समर्थन टिकट,بطاقة الدعم,Boleto de soporte
All Ticket,All Ticket,सभी टिकट,جميع التذاكر,Todos los boletos
User Overview,User Overview,उपयोगकर्ता अवलोकन,نظرة عامة على المستخدم,Descripción general del usuario
Full Name,Full Name,पूरा नाम,الاسم الكامل,Nombre completo
Status,Status,स्थिति,حالة,Estado
Last Login,Last Login,आखरी लॉगइन,آخر تسجيل دخول,Último acceso
Information of User,Information of User,उपयोगकर्ता की जानकारी,معلومات المستخدم,Información del Usuario
Phone Number,Phone Number,फ़ोन नंबर,رقم التليفون,Número de teléfono
Email To Users,Email To Users,उपयोगकर्ताओं को ईमेल करें,البريد الإلكتروني للمستخدمين,Enviar correo electrónico a los usuarios
Select Users,Select Users,उपयोगकर्ता चुनें,حدد المستخدمين,Seleccionar usuarios
all,all,सभी,الجميع,todo
All Users,All Users,सभी उपयोगकर्ता,جميع المستخدمين,Todos los usuarios
Email Unverified,Email Unverified,ईमेल असत्यापित,لم يتم التحقق من البريد الإلكتروني,Correo electrónico no verificado
Banned,Banned,प्रतिबंधित,محظور,Prohibido
User Login Logs,User Login Logs,उपयोगकर्ता लॉगिन लॉग,سجلات دخول المستخدم,Registros de inicio de sesión de usuario
User Email Logs,User Email Logs,उपयोगकर्ता ईमेल लॉग,سجلات البريد الإلكتروني للمستخدم,Registros de correo electrónico del usuario
Web Settings,Web Settings,वेब सेटिंग्स,إعدادات الويب,Configuración web
Basic Settings,Basic Settings,मूल सेटिंग्स,الإعدادات الأساسية,Ajustes básicos
Site Base Color,Site Base Color,साइट का आधार रंग,اللون الأساسي للموقع,Color base del sitio
Site Secondary Color,Site Secondary Color,साइट द्वितीयक रंग,اللون الثانوي للموقع,Color secundario del sitio
OTP Expiration,OTP Expiration,ओटीपी समाप्ति,انتهاء صلاحية OTP,Vencimiento de la OTP
Seconds,Seconds,सेकंड,ثواني,Segundos
Activation Settings,Activation Settings,सक्रियण सेटिंग्स,إعدادات التنشيط,Configuración de activación
Search Engine Optimization (SEO),Search Engine Optimization (SEO),खोज इंजन अनुकूलन (एसईओ),تحسين محركات البحث (SEO),Optimización de motores de búsqueda (SEO)
Unauthorized,Unauthorized,अनधिकृत,غير مصرح,No autorizado
Back To Home,Back To Home,घर वापिस जा रहा हूँ,العودة إلى المنزل,De vuelta a casa
Forbidden,Forbidden,निषिद्ध,مُحرَّم,Prohibido
Page Not Found,Page Not Found,पृष्ठ नहीं मिला,الصفحة غير موجودة,Página no encontrada
Page Expired,Page Expired,पेज समाप्त हो गया,انتهت صلاحية الصفحة,Página caducada
Server Error,Server Error,सर्वर त्रुटि,خطأ في الخادم,Error del Servidor
Categories,Categories,श्रेणियाँ,فئات,Categorías
Recent Posts,Recent Posts,हाल के पोस्ट,المشاركات الاخيرة,Mensajes recientes
Blog Details,Blog Details,ब्लॉग विवरण,تفاصيل المدونة,Detalles del blog
Booking Preview,Booking Preview,बुकिंग पूर्वावलोकन,معاينة الحجز,Vista previa de la reserva
N/A,N/A,एन/ए,لا يوجد,N / A
Fees,Fees,फीस,مصاريف,Honorarios
Total Amount,Total Amount,कुल राशि,المبلغ الإجمالي,Cantidad total
Already Confirmed,Already Confirmed,पहले से ही पुष्टि की है,تم التأكيد بالفعل,Ya confirmado
Confirm Booking,Confirm Booking,बुकिंग की पुष्टि करें,تأكيد الحجز,Reserva confirmada
Booking A Car,Booking A Car,एक कार की बुकिंग,حجز سيارة,Reservar un coche
Phone No,Phone No,फोन नंबर,رقم الهاتف,Telefono no
Pick-up Location,Pick-up Location,लेने की जगह,اختر موقعا,Lugar de recogida
Pick-up Date,Pick-up Date,पिक करने की तिथि,اختر تاريخا,Fecha de recogida
Pick-up Time,Pick-up Time,समय लेने,اختار المعاد,Hora de recogida
Round Trip?,Round Trip?,राउंड ट्रिप?,جولة؟,¿Ida y vuelta?
Note,Note,टिप्पणी,ملحوظة,Nota
Send Booking Request,Send Booking Request,बुकिंग अनुरोध भेजें,إرسال طلب الحجز,Enviar solicitud de reserva
Send Message,Send Message,मेसेज भेजें,أرسل رسالة,Enviar mensaje
Profile Settings,Profile Settings,पार्श्वचित्र समायोजन,إعدادات الملف الشخصي,Configuración de perfil
modal,modal,मॉडल,مشروط,modal
Delete Account,Delete Account,खाता हटा दो,حذف الحساب,Borrar cuenta
First Name,First Name,पहला नाम,الاسم الأول,Nombre de pila
Enter First Name,Enter First Name,प्रथम नाम दर्ज करें,أدخل الاسم الأول,Introduzca el nombre
Last Name,Last Name,उपनाम,اسم العائلة,Apellido
Enter Last Name,Enter Last Name,अंतिम नाम दर्ज करो,إدخال اسم آخر,Introduzca el apellido
Country,Country,देश,دولة,País
Address,Address,पता,عنوان,DIRECCIÓN
Enter Address,Enter Address,पता दर्ज करें,أدخل العنوان,Ingresa la direccion
Zip Code,Zip Code,ज़िप कोड,الرمز البريدي,Código postal
Enter ZipCode,Enter ZipCode,ज़िप कोड डालें,أدخل الرمز البريدي,Ingresa tu código postal
Current Password,Current Password,वर्तमान पासवर्ड,كلمة السر الحالية,Contraseña actual
Password,Password,पासवर्ड,كلمة المرور,Contraseña
Change,Change,परिवर्तन,يتغير,Cambiar
Are you sure to delete your account?,Are you sure to delete your account?,क्या आप निश्चित रूप से अपना खाता हटाना चाहते हैं?,هل أنت متأكد من حذف حسابك؟,¿Estás seguro de eliminar tu cuenta?
If you do not think you will use,If you do not think you will use,अगर आपको नहीं लगता तो आप इस्तेमाल करेंगे,إذا كنت لا تعتقد أنك سوف تستخدم,Si no crees que lo usarás
"again and like your account deleted. Keep in mind you will not be able to reactivate your account or retrieve any of the content or information you have added. If you would still like your account deleted, click “Delete Account”.?","again and like your account deleted. Keep in mind you will not be able to reactivate your account or retrieve any of the content or information you have added. If you would still like your account deleted, click “Delete Account”.?","फिर से और जैसे आपका खाता हटा दिया गया है। ध्यान रखें कि आप अपने खाते को पुनः सक्रिय नहीं कर पाएंगे या आपके द्वारा जोड़ी गई किसी भी सामग्री या जानकारी को पुनः प्राप्त नहीं कर पाएंगे। यदि आप अभी भी अपना खाता हटाना चाहते हैं, तो ""खाता हटाएं"" पर क्लिक करें।","مرة أخرى ومثل حذف حسابك. ضع في اعتبارك أنك لن تتمكن من إعادة تنشيط حسابك أو استرداد أي من المحتوى أو المعلومات التي أضفتها. إذا كنت لا تزال ترغب في حذف حسابك، فانقر فوق ""حذف الحساب"".","nuevamente y dale me gusta a tu cuenta eliminada. Tenga en cuenta que no podrá reactivar su cuenta ni recuperar el contenido o la información que haya agregado. Si aún desea eliminar su cuenta, haga clic en ""Eliminar cuenta""."
Confirm,Confirm,पुष्टि करना,يتأكد,Confirmar
Subscribe,Subscribe,सदस्यता लें,يشترك,Suscribir
Get It On,Get It On,इसे चालू करो,احصل عليه,Consíguelo
Google Play,Google Play,गूगल प्ले,تطبيقات جوجل,Google Play
Download On The,Download On The,पर डाउनलोड करें,تحميل على,Descargar en el
Apple Store,Apple Store,सेब दुकान,متجر آبل,tienda Apple
Total Seat ,Total Seat ,कुल सीट,إجمالي المقعد,Asiento total
Per Km,Per Km,प्रति कि.मी,لكل كيلومتر,Por Km
 Year Experience, Year Experience, वर्ष का अनुभव, خبرة سنة, Año de experiencia
Book Now,Book Now,अभी बुक करें,احجز الآن,Reservar ahora
Car not found!,Car not found!,कार नहीं मिली!,لم يتم العثور على السيارة!,¡Coche no encontrado!
Search,Search,खोज,يبحث,Buscar
Email,Email,ईमेल,بريد إلكتروني,Correo electrónico
credentials,credentials,साख,أوراق اعتماد,cartas credenciales
Forgot Password,Forgot Password,पासवर्ड भूल गए,هل نسيت كلمة السر,Has olvidado tu contraseña
Don,Don,अगुआ,اِتَّشَح,Don
firstname,firstname,पहला नाम,الاسم الأول,nombre de pila
lastname,lastname,उपनाम,اسم العائلة,apellido
I have agreed with,I have agreed with,मैं इससे सहमत हूं,لقد اتفقت مع,he estado de acuerdo con
Terms Of Use,Terms Of Use,उपयोग की शर्तें,شروط الاستخدام,Condiciones de uso
Privacy Policy,Privacy Policy,गोपनीयता नीति,سياسة الخصوصية,política de privacidad
Register Now,Register Now,अभी पंजीकरण करें,سجل الان,Regístrate ahora
Already Have An Account?,Already Have An Account?,क्या आपके पास पहले से एक खाता मौजूद है?,هل لديك حساب؟,¿Ya tienes una cuenta?
Please check your email address to get the OTP (One time password).,Please check your email address to get the OTP (One time password).,ओटीपी (वन टाइम पासवर्ड) प्राप्त करने के लिए कृपया अपना ईमेल पता जांचें।,يرجى التحقق من عنوان بريدك الإلكتروني للحصول على OTP (كلمة المرور لمرة واحدة).,Verifique su dirección de correo electrónico para obtener la OTP (contraseña de un solo uso).
Enter New Password,Enter New Password,नया पासवर्ड दर्ज करें,أدخل كلمة المرور الجديدة,Ingrese nueva clave
Account Authorization,Account Authorization,खाता प्राधिकरण,ترخيص الحساب,Autorización de cuenta
History,History,इतिहास,تاريخ,Historia
Logout,Logout,लॉग आउट,تسجيل خروج,Cerrar sesión
Help Center,Help Center,सहायता केंद्र,مركز المساعدة,Centro de ayuda
Please Contact Our Support,Please Contact Our Support,कृपया हमारे समर्थन से संपर्क करें,يرجى الاتصال بالدعم لدينا,Por favor contacte nuestro soporte
Get Support,Get Support,समर्थन प्राप्त करें,احصل على الدعم,Obtener apoyo
Are you sure to,Are you sure to,क्या आप निश्चित हैं,هل أنت متأكد من ذلك,¿Estás seguro de
Notification Not Found!,Notification Not Found!,अधिसूचना नहीं मिली!,لم يتم العثور على الإخطار!,¡Notificación no encontrada!
History List,History List,इतिहास सूची,قائمة التاريخ,Lista de Historia
Booked,Booked,बुक्ड,حجز,Reservado
Unreserved,Unreserved,निष्कपट,غير متحفظ,No reservado
Add New Ticket,Add New Ticket,नया टिकट जोड़ें,إضافة تذكرة جديدة,Agregar nuevo boleto
Enter Email,Enter Email,ईमेल दर्ज करें,أدخل البريد الإلكتروني,Ingrese correo electrónico
Enter Subject,Enter Subject,विषय दर्ज करें,أدخل الموضوع,Ingresar Asunto
Write Here,Write Here,यहाँ लिखें,اكتب هنا,Escribe aquí
Add New,Add New,नया जोड़ो,اضف جديد,Agregar nuevo
Support Tickets,Support Tickets,समर्थन टिकट,تذاكر الدعم الفني,Boletos de soporte
User,User,उपयोगकर्ता,مستخدم,Usuario
Last Reply,Last Reply,अंतिम उत्तर,الرد الأخير,Última respuesta
About,About,के बारे में,عن,Acerca de
Find Car,Find Car,कार खोजें,ابحث عن سيارة,encontrar coche
Services,Services,सेवाएं,خدمات,Servicios
Blog,Blog,ब्लॉग,مدونة,Blog
Contact,Contact,संपर्क,اتصال,Contacto
Rentify,Rentify,किराये पर देना,رينتيفاي,Rentificar
Image Assets,Image Assets,छवि संपत्ति,أصول الصورة,Recursos de imagen
Car Areas,Car Areas,कार क्षेत्र,مناطق السيارات,Áreas de coches
Defaults,Defaults,चूक,الافتراضيات,Valores predeterminados
Interface Panel,Interface Panel,इंटरफ़ेस पैनल,لوحة الواجهة,Panel de interfaz
Admin Role,Admin Role,व्यवस्थापक भूमिका,دور المشرف,Rol de administrador
Role Permission,Role Permission,भूमिका की अनुमति,إذن الدور,Permiso de rol
Verification Center,Verification Center,सत्यापन केंद्र,مركز التحقق,Centro de verificación
Setup Notification,Setup Notification,सेटअप अधिसूचना,إشعار الإعداد,Notificación de configuración
Clear Cache,Clear Cache,कैश को साफ़ करें,مسح ذاكرة التخزين المؤقت,Limpiar cache
Send OTP,Send OTP,OTP भेजें,أرسل كلمة مرور لمرة واحدة,Enviar OTP
Pending Ticket,Pending Ticket,लंबित टिकट,تذكرة معلقة,Boleto pendiente
Active Ticket,Active Ticket,सक्रिय टिकट,تذكرة نشطة,Boleto Activo
Solved Ticket,Solved Ticket,हल टिकट,تذكرة محلولة,Boleto resuelto
Site Name,Site Name,जगह का नाम,اسم الموقع,Nombre del sitio
Site Title,Site Title,घटनास्थल शीर्षक,عنوان الموقع,Título del sitio
Country Code,Country Code,कंट्री कोड,الرقم الدولي,Código de país
Google Api Key,Google Api Key,गूगल एपीआई कुंजी,مفتاح جوجل API,Clave API de Google
Web Version,Web Version,वेब संस्करण,نسخة الويب,Versión Web
User Registration,User Registration,उपयोगकर्ता पंजीकरण,تسجيل المستخدم,registro de usuario
Secure Password,Secure Password,सुरक्षित पासवर्ड,كلمة مرور آمنة,Contraseña segura
Agree Policy,Agree Policy,सहमत नीति,الموافقة على السياسة,Política de acuerdo
Force SSL,Force SSL,एसएसएल को बाध्य करें,فرض SSL,Forzar SSL
Email Verification,Email Verification,ईमेल सत्यापन,تأكيد بواسطة البريد الالكتروني,verificacion de email
Email Notification,Email Notification,ई - मेल अधिसूचना,إشعار البريد الإلكتروني,Notificación de correo electrónico
Not Replied,Not Replied,उत्तर नहीं दिया गया,لم يتم الرد,No respondido
Login Logs,Login Logs,लॉगइन लॉग्स,سجلات تسجيل الدخول,Registros de inicio de sesión
Permission Group,Permission Group,अनुमति समूह,مجموعة الأذونات,Grupo de permisos
Zip,Zip,ज़िप,أَزِيز,Cremallera
User Status,User Status,उपयोगकर्ता की स्थिति,حالة المستخدم,Estatus de usuario
SL,SL,क्र,إس إل,SL
IP,IP,आई पी,الملكية الفكرية,IP
MAC,MAC,मैक,ماك,MAC
OS,OS,ओएस,نظام التشغيل,SO
Browser,Browser,ब्राउज़र,المتصفح,Navegador
Login at,Login at,पर लॉगइन करें,تسجيل الدخول في,Inicia sesión en
Assign Admin,Assign Admin,व्यवस्थापक नियुक्त करें,تعيين المشرف,Asignar administrador
Role Name,Role Name,भूमिका का नाम,اسم الدور,Nombre de rol
Permission Name,Permission Name,अनुमति का नाम,اسم الإذن,Nombre del permiso
URI,URI,यूआरआई,URI,URI
Logo (Light Version),Logo (Light Version),लोगो (हल्का संस्करण),الشعار (النسخة الخفيفة),Logotipo (versión ligera)
Logo (Dark Version),Logo (Dark Version),लोगो (डार्क संस्करण),الشعار (الإصدار الداكن),Logotipo (versión oscura)
Favicon (Light Version),Favicon (Light Version),फ़ेविकॉन (लाइट संस्करण),الأيقونة المفضلة (الإصدار الخفيف),Favicon (versión ligera)
Favicon (Dark Version),Favicon (Dark Version),फ़ेविकॉन (डार्क संस्करण),الأيقونة المفضلة (الإصدار الداكن),Favicon (versión oscura)
App Version,App Version,एप्लिकेशन वेरीज़न,نسخة التطبيق,Version de aplicacion
Android App URL,Android App URL,एंड्रॉइड ऐप यूआरएल,عنوان URL لتطبيق Android,URL de la aplicación de Android
iOS App URL,iOS App URL,आईओएस ऐप यूआरएल,عنوان URL لتطبيق iOS,URL de la aplicación iOS
Import,Import,आयात,يستورد,Importar
Download,Download,डाउनलोड करना,تحميل,Descargar
Language Name,Language Name,भाषा का नाम,اسم اللغة,Nombre del lenguaje
Language Code,Language Code,भाषा कोड,رمز اللغة,Código de lenguaje
file,file,फ़ाइल,ملف,archivo
Send Mail,Send Mail,मेल भेजने,ارسل بريد,Enviar correo
Host,Host,मेज़बान,يستضيف,Anfitrión
Port,Port,पत्तन,ميناء,Puerto
Encryption,Encryption,कूटलेखन,التشفير,Cifrado
Default Template,Default Template,डिफ़ॉल्ट टेम्पलेट,القالب الافتراضي,Plantilla predeterminada
Email Body,Email Body,ईमेल बॉडी,هيئة البريد الإلكتروني,Cuerpo del correo electronico
"Heading*(To specify the color of the heading text, kindly define the desired color within the third set of brackets)","Heading*(To specify the color of the heading text, kindly define the desired color within the third set of brackets)","शीर्षक*(शीर्षक पाठ का रंग निर्दिष्ट करने के लिए, कृपया कोष्ठक के तीसरे सेट के भीतर वांछित रंग परिभाषित करें)",العنوان*(لتحديد لون نص العنوان، يرجى تحديد اللون المطلوب ضمن المجموعة الثالثة من الأقواس),"Encabezado*(Para especificar el color del texto del encabezado, defina amablemente el color deseado dentro del tercer conjunto de corchetes)"
Button Name,Button Name,बटन का नाम,اسم الزر,Nombre del botón
Button Link,Button Link,बटन लिंक,رابط الزر,Enlace de botón
Section Title,Section Title,अनुभाग शीर्षक,عنوان القسم,Sección de título
Description Title,Description Title,विवरण शीर्षक,عنوان الوصف,Descripción Título
Location Title,Location Title,स्थान शीर्षक,عنوان الموقع,Título de la ubicación
Call Title,Call Title,कॉल शीर्षक,عنوان المكالمة,Título de la llamada
Mobile,Mobile,गतिमान,متحرك,Móvil
Email Title,Email Title,ईमेल शीर्षक,عنوان البريد الإلكتروني,Título del correo electrónico
Item Title,Item Title,मद शीर्षक,عنوان البند,Título del artículo
Item Description,Item Description,आइटम विवरण,وصف السلعة,Descripción del Artículo
Item Section Icon,Item Section Icon,आइटम अनुभाग चिह्न,رمز قسم العنصر,Icono de sección de artículo
Item Name,Item Name,आइटम नाम,اسم العنصر,Nombre del árticulo
Add Category,Add Category,श्रेणी जोड़ना,إضافة فئة,añadir categoría
Footer Text,Footer Text,फूटर टेक्स्ट,نص التذييل,Texto de pie de página
Short Description,Short Description,संक्षिप्त वर्णन,وصف قصير,Breve descripción
Subscribe Title,Subscribe Title,शीर्षक सदस्यता लें,عنوان الاشتراك,Suscribir Título
Icon Title,Icon Title,चिह्न शीर्षक,عنوان الأيقونة,Título del icono
Item Social Icon,Item Social Icon,आइटम सामाजिक चिह्न,رمز العنصر الاجتماعي,Icono social del artículo
Item Link,Item Link,आइटम लिंक,رابط السلعة,Enlace del artículo
Login Heading,Login Heading,लॉगिन शीर्षक,عنوان تسجيل الدخول,Iniciar sesión
Login Sub Heading,Login Sub Heading,उपशीर्षक लॉगिन करें,تسجيل الدخول العنوان الفرعي,Subtítulo de inicio de sesión
Register Heading,Register Heading,शीर्षक पंजीकृत करें,تسجيل العنوان,Registro Encabezado
Register Sub Heading,Register Sub Heading,उपशीर्षक पंजीकृत करें,تسجيل العنوان الفرعي,Registrar subtítulo
Forgot Heading,Forgot Heading,शीर्षक भूल गये,نسيت العنوان,Olvidé el rumbo
Forgot Sub Heading,Forgot Sub Heading,उपशीर्षक भूल गये,نسيت العنوان الفرعي,Olvidé el subtítulo
Page Name,Page Name,पन्ने का नाम,اسم الصفحة,Nombre de la página
Useful Link Edit,Useful Link Edit,उपयोगी लिंक संपादित करें,تعديل الرابط المفيد,Enlace útil Editar
Page,Page,पृष्ठ,صفحة,Página
Instance ID,Instance ID,उदाहरण आईडी,معرف المثيل,ID de instancia
Primary key,Primary key,प्राथमिक कुंजी,المفتاح الأساسي,Clave primaria
APP ID,APP ID,एपीपी आईडी,معرف التطبيق,ID DE APLICACIÓN
Secret key,Secret key,गुप्त कुंजी,المفتاح السري,Llave secreta
Cluster,Cluster,झुंड,تَجَمَّع,Grupo
Body,Body,शरीर,جسم,Cuerpo
Server Information,Server Information,सर्वर जानकारी,معلومات الخادم,información del servidor
Login as Member,Login as Member,सदस्य के रूप में लॉगिन करें,تسجيل الدخول كعضو,Iniciar sesión como miembro
Language File,Language File,भाषा फ़ाइल,ملف اللغة,Archivo de idioma
Enter Password,Enter Password,पास वर्ड दर्ज करें,أدخل كلمة المرور,Introducir la contraseña
Don't Have An Account,Don't Have An Account,कोई खाता नहीं है,ليس لديك حساب,No tengo una cuenta
Onboard Screen fetched successfully!,Onboard Screen fetched successfully!,ऑनबोर्ड स्क्रीन सफलतापूर्वक लाई गई!,تم جلب الشاشة الموجودة على اللوحة بنجاح!,¡La pantalla integrada se obtuvo correctamente!
Splash Screen fetched successfully!,Splash Screen fetched successfully!,स्पलैश स्क्रीन सफलतापूर्वक प्राप्त हुई!,تم جلب شاشة البداية بنجاح!,¡La pantalla de bienvenida se obtuvo correctamente!
Languages fetched successfully!,Languages fetched successfully!,भाषाएँ सफलतापूर्वक प्राप्त हुईं!,تم جلب اللغات بنجاح!,¡Idiomas recuperados exitosamente!
Basic Settings fetched successfully!,Basic Settings fetched successfully!,बुनियादी सेटिंग्स सफलतापूर्वक लाई गईं!,تم جلب الإعدادات الأساسية بنجاح!,¡La configuración básica se obtuvo correctamente!
Car Area Fetched Successfully!,Car Area Fetched Successfully!,कार क्षेत्र सफलतापूर्वक प्राप्त हुआ!,تم جلب منطقة السيارة بنجاح!,¡Área de automóviles obtenida con éxito!
Car Type Fetched Successfully!,Car Type Fetched Successfully!,कार का प्रकार सफलतापूर्वक प्राप्त हुआ!,تم جلب نوع السيارة بنجاح!,¡Tipo de coche obtenido con éxito!
Cars Fetched Successfully!,Cars Fetched Successfully!,कारें सफलतापूर्वक लाई गईं!,تم جلب السيارات بنجاح!,¡Coches recuperados con éxito!
Booking list Fetched Successfully!,Booking list Fetched Successfully!,बुकिंग सूची सफलतापूर्वक प्राप्त हुई!,تم جلب قائمة الحجز بنجاح!,¡Lista de reservas obtenida con éxito!
Reply,Reply,जवाब,رد,Responder
Sub Title,Sub Title,उपशीर्षक,العنوان الفرعي,Subtítulo
Notification Body,Notification Body,अधिसूचना निकाय,هيئة الإخطار,Organismo de notificación
Pending,Pending,लंबित,قيد الانتظار,Pendiente
Solved,Solved,हल किया,تم حلها,Resuelto
Conversation,Conversation,बातचीत,محادثة,Conversación
Booking Status,Booking Status,बुकिंग स्थिति,وضع الحجز,Estado de la reservación
Update Status,Update Status,अद्यतन स्थिति,تحديث الحالة,Estado de actualización
Email Logs,Email Logs,ईमेल लॉग्स,سجلات البريد الإلكتروني,Registros de correo electrónico
Verified,Verified,सत्यापित,تم التحقق,Verificado
Unverified,Unverified,असत्यापित,لم يتم التحقق منها,Inconfirmado
Generate,Generate,उत्पन्न,يولد,Generar
Select Role,Select Role,भूमिका चुनें,حدد الدور,Seleccionar rol
Select Timezone,Select Timezone,समयक्षेत्र चुनें,اختر المجال الزمني,Selecciona la zona horaria
Activated,Activated,सक्रिय,مفعل,Activado
Deactivated,Deactivated,निष्क्रिय,معطل,Desactivado
Selectable,Selectable,चयन,قابل للتحديد,Seleccionable
Broadcasting/ Internal Notification Configuration,Broadcasting/ Internal Notification Configuration,प्रसारण/आंतरिक अधिसूचना विन्यास,البث/تكوين الإخطار الداخلي,Configuración de transmisión/notificación interna
Profile Image,Profile Image,प्रोफ़ाइल छवि,صورة الملف الشخصي,Imagen de perfil
Are you sure to delete ?,Are you sure to delete ?,क्या वाकई हटाना है ?,هل انت متأكد من الحذف ؟,¿Estás seguro de eliminar?
Remove,Remove,निकालना,يزيل,Eliminar
Password Reset Link sended to your email address.,Password Reset Link sended to your email address.,पासवर्ड रीसेट लिंक आपके ईमेल पते पर भेज दिया गया है।,تم إرسال رابط إعادة تعيين كلمة المرور إلى عنوان بريدك الإلكتروني.,Enlace de restablecimiento de contraseña enviado a su dirección de correo electrónico.
Successfully updated password. Please login,Successfully updated password. Please login,पासवर्ड सफलतापूर्वक अपडेट किया गया. कृपया लॉगिन करें,تم تحديث كلمة المرور بنجاح. الرجاء تسجيل الدخول,Contraseña actualizada correctamente. Por favor Iniciar sesión
Something went wrong! Please try again.,Something went wrong! Please try again.,कुछ गलत हो गया! कृपया पुन: प्रयास करें।,هناك خطأ ما! حاول مرة اخرى.,¡Algo salió mal! Inténtalo de nuevo.
Car Area created successfully!,Car Area created successfully!,कार क्षेत्र सफलतापूर्वक बनाया गया!,تم إنشاء منطقة السيارة بنجاح!,¡Área de Autos creada exitosamente!
Area Not Found,Area Not Found,क्षेत्र नहीं मिला,لم يتم العثور على المنطقة,Área no encontrada
Car Area updated successfully!,Car Area updated successfully!,कार क्षेत्र सफलतापूर्वक अपडेट किया गया!,تم تحديث منطقة السيارة بنجاح!,¡Área del automóvil actualizada con éxito!
Car Area Deleted Successfully!,Car Area Deleted Successfully!,कार क्षेत्र सफलतापूर्वक हटा दिया गया!,تم حذف منطقة السيارة بنجاح!,¡Área del automóvil eliminada con éxito!
Car Area status updated successfully!,Car Area status updated successfully!,कार क्षेत्र की स्थिति सफलतापूर्वक अपडेट की गई!,تم تحديث حالة منطقة السيارة بنجاح!,¡El estado del área del automóvil se actualizó exitosamente!
Data fetch successfully,Data fetch successfully,डेटा सफलतापूर्वक लाया गया,تم جلب البيانات بنجاح,Recuperación de datos exitosa
Car already exists!,Car already exists!,कार पहले से मौजूद है!,السيارة موجودة بالفعل!,¡El coche ya existe!
Car Created Successfully!,Car Created Successfully!,कार सफलतापूर्वक बनाई गई!,تم إنشاء السيارة بنجاح!,¡Coche creado con éxito!
Car status updated successfully!,Car status updated successfully!,कार की स्थिति सफलतापूर्वक अपडेट की गई!,تم تحديث حالة السيارة بنجاح!,¡El estado del auto se actualizó exitosamente!
Car Does not exists,Car Does not exists,कार मौजूद नहीं है,السيارة غير موجودة,El auto no existe
Car Updated Successfully!,Car Updated Successfully!,कार सफलतापूर्वक अपडेट हो गई!,تم تحديث السيارة بنجاح!,¡Coche actualizado con éxito!
Car Deleted Successfully!,Car Deleted Successfully!,कार सफलतापूर्वक हटा दी गई!,تم حذف السيارة بنجاح!,¡Coche eliminado con éxito!
Car Type created successfully!,Car Type created successfully!,कार का प्रकार सफलतापूर्वक बनाया गया!,تم إنشاء نوع السيارة بنجاح!,¡Tipo de auto creado exitosamente!
Car Type updated successfully!,Car Type updated successfully!,कार का प्रकार सफलतापूर्वक अपडेट किया गया!,تم تحديث نوع السيارة بنجاح!,¡Tipo de auto actualizado exitosamente!
Car Type Deleted Successfully!,Car Type Deleted Successfully!,कार का प्रकार सफलतापूर्वक हटाया गया!,تم حذف نوع السيارة بنجاح!,¡Tipo de auto eliminado exitosamente!
Car Type status updated successfully!,Car Type status updated successfully!,कार के प्रकार की स्थिति सफलतापूर्वक अपडेट की गई!,تم تحديث حالة نوع السيارة بنجاح!,¡El estado del tipo de automóvil se actualizó exitosamente!
Permission created successfully!,Permission created successfully!,अनुमति सफलतापूर्वक बनाई गई!,تم إنشاء الإذن بنجاح!,¡Permiso creado exitosamente!
Target not found!,Target not found!,लक्ष्य नहीं मिला!,لم يتم العثور على الهدف!,¡Objetivo no encontrado!
Permission not found!,Permission not found!,अनुमति नहीं मिली!,لم يتم العثور على إذن!,¡Permiso no encontrado!
Permission updated successfully!,Permission updated successfully!,अनुमति सफलतापूर्वक अपडेट की गई!,تم تحديث الإذن بنجاح!,¡Permiso actualizado exitosamente!
